timestamp,F4,C4,S1,S3,C3,F3,y
74031.87046237837,-7768.51,-7440.3394,536.6843,-7015.6826,-6547.6357,-6931.5005,0
74031.87379581857,3375.1448,3147.2957,1981.3191,5021.9995,2932.6978,3062.6003,0
74031.87712925876,6627.099,6132.283,44.247,9292.707,4743.422,5370.118,0
74031.88046269897,-1418.186,-1507.7911,-1947.8076,272.00674,-1794.2478,-1545.7206,0
74031.88379613917,-9192.9,-8815.196,-44.24565,-8573.859,-7970.787,-8261.672,0
74031.88712957937,-7988.5117,-7726.371,651.36536,-7747.2495,-6735.736,-7121.367,0
74031.89046301956,3932.1829,3693.8877,2100.6848,4255.9453,3522.866,3703.3462,0
74031.89379645976,6262.0996,5799.056,44.247,6804.324,4422.989,5068.8647,0
74031.89712989997,-1276.928,-1433.5804,-1556.26,-2125.6257,-1744.7795,-1317.7686,0
74031.90046334016,-9734.997,-9445.958,-44.24565,-11859.929,-8511.724,-8719.841,0
74031.90379678036,-8083.3076,-7764.691,671.53235,-10658.824,-6680.8623,-7069.7573,0
74031.90713022056,2845.4932,2622.0386,1527.3169,1078.3135,2520.558,2665.9102,0
74031.91046366075,6668.221,6224.9634,44.247,5694.8784,5008.8037,5447.3784,0
74031.91379710096,-2288.889,-2291.1057,-2604.919,-3778.462,-2587.304,-2422.98,0
74031.91713054116,-9917.196,-9638.216,-44.24565,-11781.989,-8635.887,-8934.252,0
74031.92046398135,-7564.071,-7228.055,1194.9713,-8867.662,-6214.2695,-6635.257,0
74031.92379742155,3744.0957,3505.1902,2656.15,3868.6262,3315.7356,3550.0142,0
74031.92713086176,5949.9287,5470.9277,44.247,7495.8916,3926.333,4795.7603,0
74031.93046430196,-2456.928,-2387.9172,-2260.5364,-1443.4828,-2806.4963,-2533.6816,0
74031.93379774215,-9804.035,-9353.278,-44.24565,-9166.503,-8492.575,-8838.725,0
74031.93713118235,-8150.473,-7737.989,589.05835,-7373.6924,-6795.35,-7239.972,0
74031.94046462254,2536.4062,2543.0125,1582.6288,4386.859,2219.8955,2362.5469,0
74031.94379806276,6368.958,5953.5225,44.247,8909.303,4565.404,5148.82,0
74031.94713150295,-3719.1929,-3686.635,-3587.359,-2279.369,-3946.2512,-3820.4236,0
74031.95046494315,-9417.424,-9053.344,-44.24565,-8926.389,-8015.067,-8418.887,0
74031.95379838334,-8034.3135,-7761.772,479.49435,-7871.1577,-6655.9873,-7046.785,0
74031.95713182355,3243.3008,2941.8315,2251.9717,3856.833,2736.6238,3046.5515,0
74031.96046526375,6363.5547,5813.1533,44.247,7377.4824,4414.612,5185.653,0
74031.96379870395,-2724.231,-2772.364,-2575.8633,-3368.8003,-2991.0437,-2765.2722,0
74031.96713214414,-9339.381,-8928.571,-44.24565,-11033.466,-7881.6284,-8284.7295,0
74031.97046558434,-7056.2876,-6726.437,1485.1354,-9090.104,-5568.0693,-6022.578,0
74031.97379902455,3824.1138,3641.6865,2861.1794,2443.2268,3530.0247,3695.5417,0
74031.97713246474,5878.1895,5428.037,44.247,5207.454,4060.071,4804.744,0
74031.98046590494,-1342.1887,-1255.5271,-778.82764,-2905.0369,-1522.308,-1324.1539,0
74031.98379934514,-9696.276,-9376.673,-44.24565,-11999.621,-8384.567,-8705.467,0
74031.98713278535,-7000.5728,-6715.239,1767.7743,-8948.955,-5771.3154,-6022.0273,0
74031.99046622554,4599.202,4257.193,3853.0212,4120.124,3940.7764,4418.5225,0
74031.99379966574,5981.446,5560.908,44.247,6916.1377,4137.8604,4747.248,0
74031.99713310594,-3252.4175,-3200.4883,-3088.3552,-2506.341,-3500.498,-3275.8225,0
74032.00046654613,-9861.366,-9440.859,-44.24565,-9309.493,-8545.831,-8887.236,0
74032.00379998634,-8763.358,-8390.148,390.69934,-7695.856,-7438.007,-7800.973,0
74032.00713342654,2637.1099,2477.5469,1287.5557,4872.6733,2270.0881,2443.495,0
74032.01046686673,6474.3154,6130.184,44.247,9653.33,4739.2334,5264.111,0
74032.01380030693,-3257.0244,-3118.1396,-3338.7314,-1113.1681,-3518.6758,-3323.3296,0
74032.01713374713,-9425.228,-8957.665,-44.24565,-8417.381,-8256.8125,-8418.887,0
74032.02046718734,-7843.365,-7551.513,819.6243,-7453.987,-6692.8374,-7004.6147,0
74032.02380062753,2814.4175,2647.413,1699.2444,3500.9556,2432.0044,2572.1414,0
74032.02713406773,6519.64,6093.292,44.247,7409.2583,4701.236,5271.298,0
74032.03046750792,-2317.8289,-2172.8208,-2395.207,-2866.7166,-2603.9348,-2384.6997,0
74032.03380094813,-9272.444,-8888.9795,-44.24565,-11331.136,-8068.3228,-8349.113,0
74032.03713438833,-7629.5063,-7312.8843,870.7944,-10190.67,-6499.851,-6785.15,0
74032.04046782853,4342.978,4033.9104,2809.4307,2447.7864,3806.0315,4123.486,0
74032.04380126872,6263,5837.7476,44.247,5229.3374,4376.3154,5005.979,0
74032.04713470892,-1996.71,-2051.875,-1856.9589,-3752.8364,-2401.342,-2112.402,0
74032.05046814913,-9630.84,-9278.295,-44.24565,-11922.58,-8522.494,-8720.439,0
74032.05380158933,-8578.144,-8319.946,395.81635,-10685.133,-7316.8037,-7755.4297,0
74032.05713502952,1850.8613,1714.1351,639.7664,1116.7676,1512.365,1606.143,0
74032.06046846972,5922.3135,5422.0386,44.247,6504.2554,4071.7395,4632.257,0
74032.06380190993,-3997.4875,-3876.8477,-3611.1,-3705.4333,-4221.5986,-4169.9683,0
74032.06713535012,-9455.244,-8996.956,-44.24565,-9465.973,-8140.4277,-8601.8545,0
74032.07046879032,-7653.7065,-7369.728,911.4293,-7364.58,-6410.448,-6859.207,0
74032.07380223052,4057.1636,3722.9385,2883.8782,5480.7793,3487.1646,3698.8381,0
74032.07713567071,6458.4067,5893.236,44.247,9034.007,4398.7544,5097.0137,0
74032.08046911092,-3451.1006,-3426.9678,-3480.2393,-1559.871,-3868.8582,-3707.5332,0
74032.08380255112,-9404.517,-9039.247,-44.24565,-8130.2017,-8170.646,-8541.664,0
74032.08713599131,-7864.9746,-7440.8965,-44.24565,-6775.545,-6555.018,-7125.5327,0
74032.09046943151,2871.669,2579.495,979.8144,4579.7373,2396.9197,2438.9146,0
74032.09380287172,6584.776,6050.1016,44.247,8632.616,4693.7563,5243.149,0
74032.09713631192,-1720.0908,-1728.3315,-1673.3018,-1129.3097,-1980.0173,-1900.9749,0
74032.10046975211,-9544.393,-9244.103,-44.24565,-10271.752,-8301.093,-8705.766,0
74032.10380319231,-7562.524,-7350.752,1103.4674,-9032.909,-6305.4746,-6765.3906,0
74032.10714,3899.8494,3467.1929,2465.7505,2788.227,3258.419,3527.5862,0
74032.11047007272,6263.9004,5705.177,44.247,5568.376,4368.8354,5011.6685,0
74032.11380351291,-3043.582,-3085.2485,-2565.2231,-4921.712,-3264.8035,-3171.8464,0
74032.11713695311,-9879.076,-9498.746,-44.24565,-12524.816,-8513.519,-8859.687,0
74032.12047,-8344.158,-7994.017,452.40436,-10984.97,-6945.4673,-7378.1235,0
74032.12380383351,2897.4724,2738.8086,1903.6008,1305.2827,2471.208,2787.1045,0
74032.12713727371,6133.929,5768.463,44.247,5785.7085,4339.216,5022.1494,0
74032.13047,-3349.1404,-3234.6357,-2802.3738,-4184.2363,-3586.9194,-3315.6902,0
74032.1338,-9731.095,-9310.088,-44.24565,-10593.704,-8529.675,-8655.757,0
74032.13714,-8072.9473,-7766.6763,619.1583,-8278.272,-6975.88,-7122.4307,0
74032.14047103451,3304.0308,3061.0293,1916.5208,4611.195,2704.222,3039.5437,0
74032.1438,6463.2095,6053.7007,44.247,9179.095,4555.5303,5203.92,0
74032.14714,-3153.2542,-3008.37,-2922.271,-784.40283,-3493.4412,-3314.237,0
74032.15047,-9089.944,-8689.224,-44.24565,-7172.4395,-7872.054,-8206.871,0
74032.15380479529,-7189.3447,-6854.43,914.43933,-5299.7583,-5981.69,-6431.5674,0
74032.15714,4055.8525,3770.1047,2581.7676,6537.161,3431.5242,3708.262,0
74032.16047,6241.688,5776.561,44.247,9231.8545,4252.4507,5008.075,0
74032.16381,-2217.2148,-2118.6438,-1849.722,-802.9076,-2528.4531,-2283.5984,0
74032.16713855609,-9569.907,-9243.502,-44.24565,-9703.989,-8401.621,-8623.415,0
74032.17047,-7702.6084,-7382.128,1136.5774,-8694.934,-6449.7847,-6802.3535,0
74032.17381,4166.665,3978.408,2816.662,3097.8286,3791.9128,3955.3645,0
74032.17714,6072.0957,5678.1826,44.247,5175.079,4395.164,4945.189,0
74032.18047231689,-2930.8257,-2854.7332,-2298.705,-5068.1543,-3027.1753,-2925.2886,0
74032.18380575709,-9974.828,-9628.618,-44.24565,-13161.826,-8538.949,-8946.2295,0
74032.18714,-8114.908,-7717.3257,749.49133,-11406.43,-6669.3237,-7097.5063,0
74032.19047263749,3080.986,2915.6453,1973.4443,1025.4347,2717.8928,2976.092,0
74032.19380607769,6151.0386,5808.6543,44.247,5224.241,4476.544,5040.716,0
74032.19713951788,-3926.2761,-3807.1702,-3652.634,-5053.0884,-4165.4927,-4003.0366,0
74032.20047,-9701.679,-9261.799,-44.24565,-10742.989,-8444.704,-8673.125,0
74032.20380639829,-8182.199,-7725.1406,405.74936,-8478.192,-6809.616,-7310.0864,0
74032.20713983849,2924.5703,2925.195,1319.0208,4311.6934,2591.303,2703.4243,0
74032.21047327868,6720.4497,6334.139,44.247,9502.846,4848.1387,5430.309,0
74032.21380671888,-2783.311,-2694.728,-2475.124,-384.33383,-3081.2441,-2951.8132,0
74032.21714015909,-9496.366,-9147.823,-44.24565,-7545.9517,-8328.319,-8699.776,0
74032.22047359929,-7706.731,-7338.05,624.8774,-5943.9473,-6455.2544,-6986.1484,0
74032.22380703948,3705.441,3490.7646,2056.3313,6268.264,3151.3667,3336.249,0
74032.22714047968,6480.6187,5980.8164,44.247,9311.293,4534.2876,5182.359,0
74032.23047391989,-2202.6948,-2200.931,-1820.7307,-919.1797,-2465.8337,-2270.3801,0
74032.23380736008,-9519.179,-9116.63,-44.24565,-9758.847,-8053.6626,-8523.098,0
74032.23714080028,-7905.636,-7622.9897,878.31934,-9083.592,-6581.1855,-7072.8896,0
74032.24047424048,3902.9202,3701.6128,2217.6382,2732.7144,3590.7217,3674.1038,0
74032.24380768067,6214.6733,5783.4595,44.247,5149.5986,4475.6465,4987.1133,0
74032.24714112088,-2375.1238,-2336.125,-1865.3403,-4751.7993,-2581.4587,-2374.076,0
74032.25047456108,-9733.797,-9425.5625,-44.24565,-12861.757,-8392.944,-8795.304,0
74032.25380800127,-8137.0586,-7739.2246,663.70636,-11080.932,-6772.1626,-7194.97,0
74032.25714144147,2990.9697,2737.7126,1496.1284,1191.144,2412.2336,2672.1287,0
74032.26047488168,6464.71,6087.893,44.247,5947.884,4577.9697,5206.016,0
74032.26380832188,-3005.9775,-2876.5833,-2709.1318,-3851.3665,-3171.5828,-3210.352,0
74032.26714176207,-8999.8955,-8589.6455,-44.24565,-9769.938,-7694.6343,-8162.8506,0
74032.27047520227,-6878.3438,-6645.171,1141.6943,-6779.3887,-5632.3657,-6244.4395,0
74032.27380864247,4297.329,3976.4268,2418.8772,6177.1934,3683.2085,3856.715,0
74032.27714208268,6371.9595,5772.362,44.247,9586.781,4400.55,4917.639,0
74032.28047552287,-2360.611,-2381.6123,-2258.7527,381.03226,-2663.1167,-2608.4775,0
74032.28380896307,-9292.556,-9021.851,-44.24565,-7300.141,-8130.854,-8527.589,0
74032.28714240326,-7812.293,-7544.199,767.55133,-5934.3706,-6661.137,-7024.646,0
74032.29047584346,3405.9001,3242.1172,1565.7001,5554.878,2886.128,3143.0212,0
74032.29380928367,6371.659,5987.715,44.247,8499.818,4549.8457,5105.3984,0
74032.29714272387,-2943.3948,-2882.7444,-2524.351,-2772.7515,-3178.8857,-3104.504,0
74032.30047616406,-9604.126,-9248.001,-44.24565,-10891.675,-8225.397,-8710.558,0
74032.30380960426,-8140.525,-7892.1836,496.35034,-10179.91,-6850.9585,-7337.172,0
74032.30714304447,3042.5278,2829.9204,1376.5693,1497.5623,2636.7224,2743.0151,0
74032.31047648466,6288.814,5805.655,44.247,5235.6323,4511.5493,5042.2134,0
74032.31380992486,-3005.1626,-2983.5208,-2827.3755,-4917.944,-3176.4006,-3164.5278,0
74032.31714336506,-9661.757,-9394.069,-44.24565,-12073.064,-8453.082,-8794.405,0
74032.32047680525,-6951.4663,-6725.5903,1666.2983,-8904.767,-5789.8267,-6169.2827,0
74032.32381024546,3584.6013,3427.3914,1641.864,3035.3135,3214.9146,3310.8635,0
74032.32714368566,6724.6523,6304.7456,44.247,7550.1494,4945.9736,5387.487,0
74032.33047712586,-2131.9998,-2098.6191,-1705.4834,-1986.7115,-2316.0027,-2335.8823,0
74032.33381056605,-9095.047,-8797.8,-44.24565,-9383.536,-7740.41,-8260.773,0
74032.33714400626,-7180.0713,-6918.026,1291.7881,-7269.0195,-5901.67,-6388.3843,0
74032.34047744646,4852.076,4517.678,3017.0762,6003.8037,4351.3535,4485.731,0
74032.34381088665,6468.312,5905.833,44.247,8489.926,4612.3765,5128.7563,0
74032.34714432685,-3426.1284,-3475.4,-2914.8203,-2219.7341,-3734.6428,-3533.1863,0
74032.35047776705,-9463.648,-9312.1875,-44.24565,-9234.551,-8266.985,-8603.352,0
74032.35381120726,-8369.967,-8226.624,203.63399,-8169.215,-7087.972,-7519.366,0
74032.35714464745,2932.9321,2558.0513,986.78156,3911.4077,2457.3784,2627.4033,0
74032.36047808765,6311.6265,5598.4,44.247,8075.645,4437.051,5013.4653,0
74032.36381152784,-2756.4597,-2902.3774,-2244.93,-2031.9938,-2969.7427,-2854.7156,0
74032.36714496806,-9509.574,-9230.005,-44.24565,-9747.756,-8161.9697,-8531.482,0
74032.37047840825,-7504.7305,-7257.183,1228.269,-8143.713,-6131.841,-6593.847,0
74032.37381184845,4140.5684,3893.6316,2453.4006,4287.4805,3790.506,3943.673,0
74032.37714528864,6063.091,5559.7085,44.247,6762.0566,4163.89,4916.7407,0
74032.38047872884,-2750.4553,-2675.4912,-2120.6445,-3158.2095,-3013.226,-2726.1575,0
74032.38381216905,-9759.61,-9384.771,-44.24565,-11320.645,-8434.831,-8726.728,0
74032.38714560925,-7571.5513,-7194.7627,771.1633,-9424.867,-6198.567,-6626.9487,0
74032.39047904944,3221.1304,3017.251,1847.997,2187.023,2808.571,3034.0066,0
74032.39381248964,6501.33,5976.0176,44.247,6103.7637,4715.597,5265.907,0
74032.39714592985,-3113.9373,-3102.6592,-2208.0007,-4176.043,-3298.6687,-3154.9038,0
74032.40047937004,-9465.75,-9109.432,-44.24565,-11070.037,-8112.603,-8491.056,0
74032.40381281024,-8044.4736,-7723.3735,770.4845,-9186.051,-6756.8604,-7143.5596,0
74032.40714625044,3171.0664,2894.8762,1249.8137,3400.1401,2603.4128,2916.1829,0
74032.41047969063,6470.413,6072.8965,44.247,8170.0723,4585.449,5273.9927,0
74032.41381313084,-4633.2036,-4523.528,-4045.525,-3437.0325,-4775.145,-4716.6597,0
74032.41714657104,-9370.598,-9001.155,-44.24565,-8397.8955,-8045.5845,-8361.391,0
74032.42048001123,-7900.0244,-7598.9766,625.19727,-7018.3013,-6543.4883,-6992.7134,0
74032.42381345143,4293.2397,3965.6077,2522.0686,5999.6123,3773.1072,4013.0303,0
74032.42714689163,6612.991,6141.2812,44.247,8977.051,4819.117,5406.3525,0
74032.43048033184,-1984.7856,-1987.4729,-1223.7302,-875.87006,-2155.9456,-2093.3748,0
74032.43381377203,-9372.999,-9071.04,-44.24565,-9261.23,-8075.5034,-8424.876,0
74032.43714721223,-6048.171,-5822.7095,2085.3293,-6455.3765,-4849.695,-5213.3633,0
74032.44048065243,4097.756,3709.6135,2683.4116,4177.0293,3446.6777,3796.5457,0
74032.44381409264,6655.014,6235.7607,44.247,7155.6533,4939.3916,5397.968,0
74032.44714753283,-3297.7986,-3171.1455,-2624.0872,-3967.8945,-3254.148,-3388.209,0
74032.45048097303,-9118.46,-8760.308,-44.24565,-10588.009,-7658.432,-8150.573,0
74032.45381441322,-7431.3716,-7310.9375,1309.2517,-9220.767,-6138.7134,-6632.0034,0
74032.45714785342,4251.4907,3886.1226,2480.5166,3098.078,3826.213,3936.7407,0
74032.46048129363,6199.065,5711.4756,44.247,5852.2573,4492.9995,4977.531,0
74032.46381473383,-3777.4883,-3793.71,-2900.779,-5022.2075,-3884.405,-3888.5625,0
74032.46714817402,-9296.758,-8973.562,-44.24565,-11058.6455,-7940.569,-8365.283,0
74032.47048161422,-8164.9185,-7937.1934,522.47534,-9591.439,-6925.8784,-7276.8745,0
74032.47381505443,3709.8909,3501.3298,1509.9143,3364.3386,3358.7883,3367.6846,0
74032.47714849462,6494.7266,6003.0117,44.247,7411.6562,4709.6133,5180.562,0
74032.48048193482,-2678.514,-2551.6604,-2121.8162,-2147.0903,-2880.2468,-2815.9204,0
74032.48381537502,-9197.703,-8855.387,-44.24565,-8985.742,-7956.725,-8436.854,0
74032.48714881521,-6717.7427,-6367.7666,1358.6184,-6165.9146,-5488.5713,-6020.2563,0
74032.49048225542,4345.77,4021.8628,2132.897,5979.215,3744.192,3902.7434,0
74032.49381569562,6360.553,5822.1514,44.247,8834.061,4366.442,4999.9897,0
74032.49714913582,-2056.7542,-2097.2104,-1315.0526,-549.7898,-2437.176,-2177.8252,0
74032.50048257601,-9427.329,-9043.746,-44.24565,-8803.783,-8242.152,-8528.487,0
74032.50381601622,-7747.5405,-7475.8066,1271.4551,-7461.1055,-6422.306,-6881.883,0
74032.50714945642,2971.0613,2832.0369,1195.5803,3665.0254,2678.994,2649.968,0
74032.51048289661,6363.5547,5906.733,44.247,7156.8525,4656.3574,5152.713,0
74032.51381633681,-4370.873,-4293.9287,-3501.6104,-5048.625,-4407.6636,-4337.0615,0
74032.51715,-9905.49,-9604.623,-44.24565,-11832.949,-8572.459,-8878.553,0
74032.52048321722,-8043.475,-7779.254,787.608,-10449.591,-6778.139,-7178.4604,0
74032.52381665741,4348.5654,4072.7026,2490.0735,2755.3062,3831.965,4082.412,0
74032.52715009761,6425.989,5979.317,44.247,5742.842,4504.0693,5249.4375,0
74032.53048,-2637.507,-2716.5234,-1652.7949,-4216.4395,-3022.4583,-2655.1604,0
74032.53382,-9289.854,-8823.294,-44.24565,-11115.003,-7940.2695,-8276.645,0
74032.53715041821,-6936.1636,-6594.826,1624.6376,-8253.377,-5665.0767,-6059.393,0
74032.54048,4253.259,4129.8135,2130.445,4423.4966,3670.6045,3900.3699,0
74032.54382,6487.5225,5946.624,44.247,8013.593,4566.002,5166.1885,0
74032.54715,-2540.7234,-2551.589,-1768.7605,-1479.6089,-2902.508,-2717.5361,0
74032.55048417901,-9199.805,-8946.867,-44.24565,-8584.052,-7984.2505,-8391.037,0
74032.55382,-6400.1772,-6207.633,2195.625,-5602.564,-5305.124,-5652.253,0
74032.55715,4519.3022,4135.6685,2433.6914,6038.167,3782.0227,4120.7725,0
74032.56048,6606.3877,6030.6055,44.247,8800.187,4540.87,5271.597,0
